"texto","risco"
"estou sentindo muita confusão mental","alto risco"
"estou sentindo muita espirros","baixo risco"
"desde ontem sinto dificuldade para respirar, além de dor abdominal forte","alto risco"
"sinto dor intensa no coração","alto risco"
"tive desmaio","alto risco"
"apresentei visão embaçada, além de leve incômodo nas costas","médio risco"
"estou com falta de ar e suor frio e dor no peito","alto risco"
"sinto náusea e vômito, além de leve incômodo nas costas","médio risco"
"hoje acordei com leve tontura ao levantar rápido com um pouco de pequena dor de estômago","baixo risco"
"estou com dormência no braço esquerdo e dificuldade para respirar","alto risco"
"desde ontem sinto leve incômodo nas costas","baixo risco"
"hoje acordei com visão embaçada e dor no joelho","médio risco"
"tive dor no joelho","baixo risco"
"estou sentindo muita náusea e vômito","médio risco"
"tive pressão no peito acompanhado de dor de cabeça forte","alto risco"
"sinto fraqueza extrema, além de batimento acelerado ao levantar","médio risco"
"estou com perda de consciência com um pouco de tosse persistente","alto risco"
"tive dor muscular após exercício e dor no dedo","baixo risco"
"tive dor muscular após exercício","baixo risco"
"tive desmaio com um pouco de dor intensa no coração","alto risco"
"hoje acordei com dor de cabeça forte acompanhado de um pouco de enjoo","médio risco"
"tive dor muscular após exercício","baixo risco"
"estou sentindo muita espirros acompanhado de coriza","baixo risco"
"estou com pequena dor de estômago","baixo risco"
"sinto garganta arranhando","baixo risco"
"estou sentindo muita perda de consciência, além de tontura frequente","alto risco"
"desde ontem sinto visão embaçada, além de dor no dedo","médio risco"
"apresentei dificuldade para respirar","alto risco"
"apresentei dor de cabeça forte","médio risco"
"estou com dor abdominal forte","médio risco"
"tive dor de cabeça forte","médio risco"
"tive palpitação muito forte","alto risco"
"desde ontem sinto tosse persistente","médio risco"
"sinto coriza, além de dor no joelho","baixo risco"
"tive dor aguda no peito que irradia com um pouco de visão embaçada","alto risco"
"hoje acordei com desmaio","alto risco"
"desde ontem sinto dificuldade para respirar","alto risco"
"sinto pressão no peito","alto risco"
"estou sentindo muita dor abdominal forte","médio risco"
"estou com desmaio","alto risco"
"estou com cansaço desproporcional com um pouco de um pouco de enjoo","médio risco"
"desde ontem sinto espirros com um pouco de leve incômodo nas costas","baixo risco"
"apresentei leve incômodo nas costas e cansaço normal","baixo risco"
"apresentei náusea e vômito","médio risco"
"estou com cansaço desproporcional, além de leve incômodo nas costas","médio risco"
"estou sentindo muita dor de cabeça leve","baixo risco"
"hoje acordei com pressão no peito","alto risco"
"desde ontem sinto desmaio","alto risco"
"desde ontem sinto tosse persistente","médio risco"
"tive falta de ar","alto risco"
"estou com tosse persistente","médio risco"
"hoje acordei com cansaço do dia a dia","baixo risco"
"tive confusão mental e confusão mental","alto risco"
"estou com febre alta","médio risco"
"sinto suor frio e dor no peito","alto risco"
"desde ontem sinto dor muscular após exercício acompanhado de coriza","baixo risco"
"estou sentindo muita dor de cabeça forte","médio risco"
"desde ontem sinto dor aguda no peito que irradia e cansaço desproporcional","alto risco"
"estou com pequena dor de estômago","baixo risco"
"estou sentindo muita perda de consciência e desmaio","alto risco"
"estou com garganta arranhando","baixo risco"
"hoje acordei com um pouco de enjoo acompanhado de pequena dor de estômago","baixo risco"
"hoje acordei com dor muscular após exercício","baixo risco"
"tive dor muscular após exercício, além de dor no dedo","baixo risco"
"sinto dor intensa no coração","alto risco"
"hoje acordei com cansaço normal","baixo risco"
"estou sentindo muita tontura frequente, além de cansaço normal","médio risco"
"tive garganta arranhando","baixo risco"
"tive um pouco de enjoo","baixo risco"
"tive palpitação muito forte","alto risco"
"apresentei dormência no braço esquerdo","alto risco"
"desde ontem sinto leve incômodo nas costas","baixo risco"
"apresentei dor de cabeça forte","médio risco"
"desde ontem sinto um pouco de enjoo e cansaço normal","baixo risco"
"sinto dor muscular após exercício com um pouco de dor no joelho","baixo risco"
"desde ontem sinto falta de ar","alto risco"
"sinto náusea e vômito acompanhado de coriza","médio risco"
"estou com leve tontura ao levantar rápido e leve incômodo nas costas","baixo risco"
"apresentei dor intensa no coração com um pouco de cansaço desproporcional","alto risco"
"estou com dor no joelho, além de dor de cabeça leve","baixo risco"
"desde ontem sinto pequena dor de estômago e leve incômodo nas costas","baixo risco"
"estou com visão embaçada","médio risco"
"apresentei cansaço desproporcional acompanhado de dor de cabeça leve","médio risco"
"hoje acordei com confusão mental com um pouco de tosse persistente","alto risco"
"desde ontem sinto dificuldade para respirar","alto risco"
"apresentei tosse persistente","médio risco"
"estou com dor no dedo, além de dor muscular após exercício","baixo risco"
"apresentei dor no dedo","baixo risco"
"estou sentindo muita confusão mental e desmaio","alto risco"
"estou com dor muscular após exercício com um pouco de cansaço do dia a dia","baixo risco"
"estou com batimento acelerado ao levantar","médio risco"
"sinto perda de consciência acompanhado de perda de consciência","alto risco"
"sinto pequena dor de estômago e pequena dor de estômago","baixo risco"
"estou sentindo muita leve tontura ao levantar rápido com um pouco de coriza","baixo risco"
"estou com náusea e vômito, além de febre alta","médio risco"
"sinto coriza, além de cansaço normal","baixo risco"
"tive palpitação muito forte","alto risco"
"apresentei cansaço do dia a dia e dor de cabeça leve","baixo risco"
"tive visão embaçada","médio risco"
"estou sentindo muita pressão no peito, além de dor de cabeça forte","alto risco"
"tive pressão no peito","alto risco"
"apresentei leve incômodo nas costas com um pouco de cansaço normal","baixo risco"
"desde ontem sinto cansaço do dia a dia","baixo risco"
"apresentei dor muscular após exercício com um pouco de espirros","baixo risco"
"apresentei confusão mental","alto risco"
"desde ontem sinto batimento acelerado ao levantar","médio risco"
"tive espirros acompanhado de dor muscular após exercício","baixo risco"
"desde ontem sinto garganta arranhando e espirros","baixo risco"
"desde ontem sinto coriza e dor no joelho","baixo risco"
"tive um pouco de enjoo","baixo risco"
"sinto espirros e cansaço do dia a dia","baixo risco"
"apresentei pequena dor de estômago","baixo risco"
"apresentei batimento acelerado ao levantar acompanhado de dor muscular após exercício","médio risco"
"tive dor de cabeça forte e espirros","médio risco"
"estou com visão embaçada com um pouco de cansaço normal","médio risco"
"tive batimento acelerado ao levantar acompanhado de dor no joelho","médio risco"
"sinto febre alta acompanhado de fraqueza extrema","médio risco"
"apresentei batimento acelerado ao levantar","médio risco"
"estou com tontura frequente","médio risco"
"sinto batimento acelerado ao levantar","médio risco"
"apresentei dor aguda no peito que irradia","alto risco"
"tive dificuldade para respirar acompanhado de tontura frequente","alto risco"
"hoje acordei com falta de ar e dor intensa no coração","alto risco"
"desde ontem sinto dor muscular após exercício","baixo risco"
"estou sentindo muita leve incômodo nas costas acompanhado de cansaço normal","baixo risco"
"estou sentindo muita tosse persistente com um pouco de dor muscular após exercício","médio risco"
"estou sentindo muita cansaço do dia a dia com um pouco de leve tontura ao levantar rápido","baixo risco"
"estou com coriza e garganta arranhando","baixo risco"
"sinto dor abdominal forte","médio risco"
"tive desmaio","alto risco"
"sinto suor frio e dor no peito com um pouco de dificuldade para respirar","alto risco"
"tive desmaio e batimento acelerado ao levantar","alto risco"
"tive perda de consciência","alto risco"
"apresentei leve tontura ao levantar rápido","baixo risco"
"apresentei leve incômodo nas costas","baixo risco"
"hoje acordei com dor aguda no peito que irradia e febre alta","alto risco"
"sinto febre alta","médio risco"
"estou com fraqueza extrema com um pouco de leve tontura ao levantar rápido","médio risco"
"estou com dor muscular após exercício","baixo risco"
"estou sentindo muita dor de cabeça forte e tontura frequente","médio risco"
"tive dormência no braço esquerdo","alto risco"
"estou com fraqueza extrema","médio risco"
"sinto tosse persistente","médio risco"
"estou com leve tontura ao levantar rápido","baixo risco"
"estou com febre alta","médio risco"
"estou sentindo muita dor de cabeça forte, além de dor de cabeça leve","médio risco"
"desde ontem sinto fraqueza extrema com um pouco de dor no joelho","médio risco"
"sinto cansaço normal e dor de cabeça leve","baixo risco"
"desde ontem sinto dor no peito","alto risco"
"hoje acordei com dor no peito","alto risco"
"sinto náusea e vômito","médio risco"
"hoje acordei com cansaço do dia a dia acompanhado de cansaço do dia a dia","baixo risco"
"tive leve tontura ao levantar rápido e cansaço do dia a dia","baixo risco"
"sinto visão embaçada, além de náusea e vômito","médio risco"
"sinto tosse persistente, além de tontura frequente","médio risco"
"estou sentindo muita fraqueza extrema","médio risco"
"sinto dor de cabeça leve","baixo risco"
"estou com leve incômodo nas costas","baixo risco"
"sinto um pouco de enjoo, além de um pouco de enjoo","baixo risco"
"hoje acordei com desmaio","alto risco"
"estou sentindo muita coriza com um pouco de pequena dor de estômago","baixo risco"
"estou com confusão mental","alto risco"
"desde ontem sinto fraqueza extrema com um pouco de visão embaçada","médio risco"
"estou sentindo muita espirros, além de coriza","baixo risco"
"estou sentindo muita dor de cabeça forte, além de fraqueza extrema","médio risco"
"sinto dor aguda no peito que irradia","alto risco"
"hoje acordei com batimento acelerado ao levantar com um pouco de garganta arranhando","médio risco"
"sinto suor frio e dor no peito","alto risco"
"sinto dormência no braço esquerdo","alto risco"
"hoje acordei com pequena dor de estômago","baixo risco"
"desde ontem sinto dor no dedo e dor no dedo","baixo risco"
"sinto dor no peito","alto risco"
"apresentei pressão no peito e dor aguda no peito que irradia","alto risco"
"desde ontem sinto visão embaçada acompanhado de dor no dedo","médio risco"
"tive dor de cabeça forte","médio risco"
"hoje acordei com dor de cabeça leve","baixo risco"
"desde ontem sinto garganta arranhando e coriza","baixo risco"
"apresentei dor abdominal forte acompanhado de cansaço desproporcional","médio risco"
"apresentei dor no peito","alto risco"
"sinto dificuldade para respirar acompanhado de náusea e vômito","alto risco"
"sinto dormência no braço esquerdo e desmaio","alto risco"
"sinto dor no joelho com um pouco de pequena dor de estômago","baixo risco"
"desde ontem sinto cansaço normal","baixo risco"
"estou sentindo muita dor no joelho","baixo risco"
"estou com cansaço normal acompanhado de um pouco de enjoo","baixo risco"
"apresentei dor intensa no coração","alto risco"
"estou com desmaio","alto risco"
"desde ontem sinto dor no joelho","baixo risco"
"desde ontem sinto pequena dor de estômago","baixo risco"
"apresentei dor no dedo","baixo risco"
"hoje acordei com perda de consciência acompanhado de batimento acelerado ao levantar","alto risco"
"tive dor abdominal forte","médio risco"
"sinto leve tontura ao levantar rápido e cansaço do dia a dia","baixo risco"
"estou com fraqueza extrema com um pouco de febre alta","médio risco"
"apresentei cansaço normal","baixo risco"
"hoje acordei com febre alta","médio risco"
"sinto tontura frequente","médio risco"
"apresentei tosse persistente, além de dor no joelho","médio risco"
"apresentei garganta arranhando","baixo risco"
"estou com pequena dor de estômago e cansaço do dia a dia","baixo risco"
"desde ontem sinto dor aguda no peito que irradia","alto risco"
"sinto dor muscular após exercício","baixo risco"
"estou sentindo muita dor no dedo","baixo risco"
"estou com palpitação muito forte, além de dor no peito","alto risco"
"sinto garganta arranhando e espirros","baixo risco"
"estou sentindo muita suor frio e dor no peito","alto risco"
"estou sentindo muita coriza com um pouco de pequena dor de estômago","baixo risco"
"desde ontem sinto dor abdominal forte com um pouco de cansaço normal","médio risco"
"sinto garganta arranhando","baixo risco"
"tive suor frio e dor no peito","alto risco"
"hoje acordei com um pouco de enjoo","baixo risco"
"desde ontem sinto dor abdominal forte, além de pequena dor de estômago","médio risco"
"desde ontem sinto tosse persistente","médio risco"
"tive dor no peito","alto risco"
"sinto cansaço normal e dor no dedo","baixo risco"
"apresentei espirros","baixo risco"
"hoje acordei com suor frio e dor no peito e visão embaçada","alto risco"
"hoje acordei com dor de cabeça forte","médio risco"
"tive tosse persistente","médio risco"
"apresentei batimento acelerado ao levantar, além de dor muscular após exercício","médio risco"
"hoje acordei com tosse persistente","médio risco"
"hoje acordei com náusea e vômito, além de leve tontura ao levantar rápido","médio risco"
"estou sentindo muita dor no peito","alto risco"
"tive pressão no peito","alto risco"
"apresentei dormência no braço esquerdo e dor intensa no coração","alto risco"
"apresentei palpitação muito forte, além de batimento acelerado ao levantar","alto risco"
"apresentei dor aguda no peito que irradia, além de perda de consciência","alto risco"
"apresentei garganta arranhando com um pouco de dor de cabeça leve","baixo risco"
"sinto dor de cabeça leve","baixo risco"
"estou sentindo muita dor abdominal forte","médio risco"
"estou com coriza","baixo risco"
"estou com pressão no peito","alto risco"
"estou com dor no dedo","baixo risco"
"estou com dor no dedo, além de cansaço normal","baixo risco"
"hoje acordei com dor aguda no peito que irradia, além de cansaço desproporcional","alto risco"
"desde ontem sinto dor de cabeça forte","médio risco"
"sinto desmaio e palpitação muito forte","alto risco"
"sinto dor de cabeça leve e leve tontura ao levantar rápido","baixo risco"
"sinto coriza","baixo risco"
"sinto confusão mental","alto risco"
"estou sentindo muita suor frio e dor no peito","alto risco"
"hoje acordei com náusea e vômito","médio risco"
"sinto febre alta acompanhado de coriza","médio risco"
"tive cansaço normal, além de dor muscular após exercício","baixo risco"
"sinto dor de cabeça leve, além de cansaço do dia a dia","baixo risco"
"estou com dormência no braço esquerdo","alto risco"
"desde ontem sinto garganta arranhando, além de um pouco de enjoo","baixo risco"
"apresentei cansaço normal com um pouco de leve tontura ao levantar rápido","baixo risco"
"sinto dor abdominal forte","médio risco"
"estou sentindo muita cansaço desproporcional","médio risco"
"sinto batimento acelerado ao levantar e fraqueza extrema","médio risco"
"estou com tontura frequente acompanhado de batimento acelerado ao levantar","médio risco"
"apresentei dor no joelho, além de coriza","baixo risco"
"hoje acordei com náusea e vômito","médio risco"
"tive leve tontura ao levantar rápido","baixo risco"
"hoje acordei com dificuldade para respirar","alto risco"
"sinto batimento acelerado ao levantar acompanhado de espirros","médio risco"
"desde ontem sinto dor no joelho acompanhado de leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto dor aguda no peito que irradia","alto risco"
"desde ontem sinto leve incômodo nas costas","baixo risco"
"desde ontem sinto cansaço normal e um pouco de enjoo","baixo risco"
"estou com fraqueza extrema","médio risco"
"tive dor de cabeça leve","baixo risco"
"estou sentindo muita coriza","baixo risco"
"sinto cansaço normal acompanhado de garganta arranhando","baixo risco"
"apresentei dor aguda no peito que irradia, além de visão embaçada","alto risco"
"apresentei espirros","baixo risco"
"hoje acordei com dormência no braço esquerdo","alto risco"
"estou com visão embaçada, além de dor de cabeça forte","médio risco"
"desde ontem sinto coriza","baixo risco"
"apresentei coriza com um pouco de cansaço normal","baixo risco"
"estou com suor frio e dor no peito acompanhado de dificuldade para respirar","alto risco"
"estou sentindo muita leve incômodo nas costas com um pouco de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita suor frio e dor no peito acompanhado de dor aguda no peito que irradia","alto risco"
"tive suor frio e dor no peito e falta de ar","alto risco"
"estou com desmaio","alto risco"
"tive falta de ar acompanhado de falta de ar","alto risco"
"estou com dor aguda no peito que irradia, além de suor frio e dor no peito","alto risco"
"tive confusão mental com um pouco de tosse persistente","alto risco"
"tive falta de ar acompanhado de dor intensa no coração","alto risco"
"estou sentindo muita espirros","baixo risco"
"tive falta de ar","alto risco"
"estou com dor no peito","alto risco"
"sinto um pouco de enjoo acompanhado de um pouco de enjoo","baixo risco"
"sinto garganta arranhando com um pouco de dor de cabeça leve","baixo risco"
"hoje acordei com pequena dor de estômago","baixo risco"
"sinto garganta arranhando e coriza","baixo risco"
"tive dor de cabeça forte com um pouco de garganta arranhando","médio risco"
"estou com dor abdominal forte","médio risco"
"apresentei náusea e vômito","médio risco"
"estou com cansaço desproporcional e garganta arranhando","médio risco"
"estou com dificuldade para respirar","alto risco"
"desde ontem sinto cansaço normal","baixo risco"
"estou sentindo muita espirros com um pouco de dor no joelho","baixo risco"
"desde ontem sinto dor de cabeça leve e garganta arranhando","baixo risco"
"apresentei dormência no braço esquerdo","alto risco"
"tive dormência no braço esquerdo","alto risco"
"desde ontem sinto dificuldade para respirar","alto risco"
"tive dor aguda no peito que irradia","alto risco"
"hoje acordei com febre alta com um pouco de visão embaçada","médio risco"
"apresentei coriza","baixo risco"
"tive dor muscular após exercício e espirros","baixo risco"
"apresentei dor no peito, além de dor aguda no peito que irradia","alto risco"
"estou sentindo muita palpitação muito forte","alto risco"
"desde ontem sinto dor no joelho","baixo risco"
"sinto dor no dedo","baixo risco"
"tive perda de consciência","alto risco"
"estou com dor de cabeça forte","médio risco"
"tive espirros, além de dor no dedo","baixo risco"
"tive cansaço desproporcional","médio risco"
"apresentei cansaço desproporcional e febre alta","médio risco"
"apresentei dormência no braço esquerdo","alto risco"
"estou sentindo muita perda de consciência","alto risco"
"hoje acordei com coriza","baixo risco"
"apresentei cansaço do dia a dia e espirros","baixo risco"
"desde ontem sinto dor aguda no peito que irradia","alto risco"
"estou com pequena dor de estômago acompanhado de dor no dedo","baixo risco"
"tive pressão no peito com um pouco de dificuldade para respirar","alto risco"
"tive espirros","baixo risco"
"hoje acordei com um pouco de enjoo e leve incômodo nas costas","baixo risco"
"hoje acordei com dormência no braço esquerdo com um pouco de visão embaçada","alto risco"
"desde ontem sinto um pouco de enjoo e espirros","baixo risco"
"estou com dor intensa no coração acompanhado de perda de consciência","alto risco"
"estou com perda de consciência","alto risco"
"estou sentindo muita dor no joelho","baixo risco"
"hoje acordei com falta de ar","alto risco"
"estou sentindo muita cansaço normal, além de leve incômodo nas costas","baixo risco"
"apresentei coriza","baixo risco"
"sinto batimento acelerado ao levantar, além de leve tontura ao levantar rápido","médio risco"
"estou sentindo muita leve incômodo nas costas","baixo risco"
"desde ontem sinto dor no dedo","baixo risco"
"sinto dor abdominal forte","médio risco"
"tive febre alta, além de dor no joelho","médio risco"
"estou com confusão mental com um pouco de náusea e vômito","alto risco"
"estou sentindo muita fraqueza extrema","médio risco"
"apresentei dor no joelho acompanhado de cansaço normal","baixo risco"
"estou com suor frio e dor no peito","alto risco"
"estou com pequena dor de estômago","baixo risco"
"tive dor no dedo com um pouco de dor no dedo","baixo risco"
"estou sentindo muita cansaço desproporcional e dor abdominal forte","médio risco"
"estou com visão embaçada acompanhado de dor no dedo","médio risco"
"apresentei espirros","baixo risco"
"estou com leve incômodo nas costas com um pouco de espirros","baixo risco"
"apresentei dor muscular após exercício","baixo risco"
"estou sentindo muita dor no joelho","baixo risco"
"estou com cansaço do dia a dia","baixo risco"
"hoje acordei com um pouco de enjoo com um pouco de garganta arranhando","baixo risco"
"estou sentindo muita dormência no braço esquerdo","alto risco"
"estou com desmaio, além de náusea e vômito","alto risco"
"hoje acordei com cansaço normal","baixo risco"
"estou com espirros, além de pequena dor de estômago","baixo risco"
"estou sentindo muita dor aguda no peito que irradia","alto risco"
"estou sentindo muita cansaço do dia a dia, além de dor de cabeça leve","baixo risco"
"sinto um pouco de enjoo, além de garganta arranhando","baixo risco"
"estou sentindo muita leve incômodo nas costas","baixo risco"
"apresentei cansaço do dia a dia, além de leve incômodo nas costas","baixo risco"
"apresentei febre alta","médio risco"
"tive um pouco de enjoo","baixo risco"
"desde ontem sinto leve tontura ao levantar rápido acompanhado de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita garganta arranhando","baixo risco"
"desde ontem sinto dor no joelho","baixo risco"
"desde ontem sinto garganta arranhando com um pouco de dor de cabeça leve","baixo risco"
"apresentei batimento acelerado ao levantar","médio risco"
"apresentei pressão no peito","alto risco"
"apresentei falta de ar","alto risco"
"estou sentindo muita garganta arranhando","baixo risco"
"estou sentindo muita tosse persistente acompanhado de fraqueza extrema","médio risco"
"desde ontem sinto tosse persistente com um pouco de cansaço do dia a dia","médio risco"
"desde ontem sinto pequena dor de estômago com um pouco de um pouco de enjoo","baixo risco"
"tive dor de cabeça leve","baixo risco"
"estou sentindo muita pressão no peito e náusea e vômito","alto risco"
"desde ontem sinto dor intensa no coração","alto risco"
"tive dor aguda no peito que irradia","alto risco"
"estou com dor intensa no coração","alto risco"
"apresentei tontura frequente acompanhado de espirros","médio risco"
"desde ontem sinto dor no dedo acompanhado de dor de cabeça leve","baixo risco"
"tive confusão mental","alto risco"
"apresentei espirros","baixo risco"
"apresentei dificuldade para respirar","alto risco"
"hoje acordei com dor muscular após exercício com um pouco de pequena dor de estômago","baixo risco"
"hoje acordei com pressão no peito","alto risco"
"estou sentindo muita confusão mental com um pouco de confusão mental","alto risco"
"sinto dor muscular após exercício","baixo risco"
"sinto dor muscular após exercício","baixo risco"
"apresentei fraqueza extrema","médio risco"
"sinto dor de cabeça leve, além de leve tontura ao levantar rápido","baixo risco"
"hoje acordei com dor de cabeça forte, além de leve incômodo nas costas","médio risco"
"desde ontem sinto dor intensa no coração","alto risco"
"desde ontem sinto coriza com um pouco de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita tontura frequente","médio risco"
"estou sentindo muita pressão no peito","alto risco"
"sinto falta de ar acompanhado de dormência no braço esquerdo","alto risco"
"estou com falta de ar","alto risco"
"desde ontem sinto visão embaçada e pequena dor de estômago","médio risco"
"desde ontem sinto dor muscular após exercício, além de dor de cabeça leve","baixo risco"
"desde ontem sinto dor de cabeça forte e pequena dor de estômago","médio risco"
"estou sentindo muita leve incômodo nas costas, além de coriza","baixo risco"
"estou sentindo muita náusea e vômito e pequena dor de estômago","médio risco"
"desde ontem sinto espirros","baixo risco"
"estou com dor de cabeça leve","baixo risco"
"estou sentindo muita tosse persistente e dor abdominal forte","médio risco"
"desde ontem sinto espirros, além de leve incômodo nas costas","baixo risco"
"estou com visão embaçada acompanhado de batimento acelerado ao levantar","médio risco"
"estou sentindo muita fraqueza extrema","médio risco"
"tive dor no dedo","baixo risco"
"sinto falta de ar","alto risco"
"tive falta de ar","alto risco"
"apresentei pressão no peito, além de dor no peito","alto risco"
"tive dor no peito, além de palpitação muito forte","alto risco"
"estou com visão embaçada, além de dor de cabeça leve","médio risco"
"estou sentindo muita dor abdominal forte","médio risco"
"estou sentindo muita cansaço normal","baixo risco"
"hoje acordei com visão embaçada acompanhado de dor abdominal forte","médio risco"
"estou com perda de consciência","alto risco"
"hoje acordei com pequena dor de estômago e garganta arranhando","baixo risco"
"hoje acordei com leve tontura ao levantar rápido e dor no dedo","baixo risco"
"hoje acordei com dormência no braço esquerdo","alto risco"
"estou sentindo muita leve incômodo nas costas","baixo risco"
"hoje acordei com confusão mental, além de palpitação muito forte","alto risco"
"estou sentindo muita febre alta","médio risco"
"tive dor no dedo","baixo risco"
"estou sentindo muita batimento acelerado ao levantar com um pouco de dor no dedo","médio risco"
"estou sentindo muita espirros","baixo risco"
"estou com um pouco de enjoo e coriza","baixo risco"
"tive suor frio e dor no peito, além de perda de consciência","alto risco"
"tive cansaço normal","baixo risco"
"apresentei cansaço desproporcional","médio risco"
"desde ontem sinto espirros, além de um pouco de enjoo","baixo risco"
"desde ontem sinto palpitação muito forte, além de visão embaçada","alto risco"
"desde ontem sinto náusea e vômito com um pouco de garganta arranhando","médio risco"
"tive falta de ar","alto risco"
"tive dor de cabeça leve","baixo risco"
"sinto leve tontura ao levantar rápido acompanhado de leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto pressão no peito e dor aguda no peito que irradia","alto risco"
"apresentei batimento acelerado ao levantar acompanhado de cansaço normal","médio risco"
"estou com dor intensa no coração","alto risco"
"estou sentindo muita dor de cabeça leve com um pouco de pequena dor de estômago","baixo risco"
"tive perda de consciência e dor aguda no peito que irradia","alto risco"
"tive cansaço desproporcional, além de leve tontura ao levantar rápido","médio risco"
"hoje acordei com visão embaçada","médio risco"
"tive leve tontura ao levantar rápido","baixo risco"
"sinto confusão mental com um pouco de dor aguda no peito que irradia","alto risco"
"apresentei coriza e dor de cabeça leve","baixo risco"
"sinto visão embaçada","médio risco"
"sinto fraqueza extrema com um pouco de leve tontura ao levantar rápido","médio risco"
"estou com espirros, além de dor de cabeça leve","baixo risco"
"hoje acordei com dor no dedo acompanhado de cansaço do dia a dia","baixo risco"
"estou com dor de cabeça forte com um pouco de febre alta","médio risco"
"sinto dor no dedo e pequena dor de estômago","baixo risco"
"estou com dificuldade para respirar, além de dor de cabeça forte","alto risco"
"sinto fraqueza extrema, além de garganta arranhando","médio risco"
"sinto dor intensa no coração","alto risco"
"hoje acordei com cansaço do dia a dia com um pouco de dor no joelho","baixo risco"
"sinto perda de consciência","alto risco"
"tive cansaço desproporcional com um pouco de náusea e vômito","médio risco"
"estou com cansaço do dia a dia, além de cansaço do dia a dia","baixo risco"
"estou com dor muscular após exercício","baixo risco"
"desde ontem sinto dor de cabeça leve com um pouco de dor no joelho","baixo risco"
"apresentei dor no peito","alto risco"
"apresentei fraqueza extrema","médio risco"
"sinto dor de cabeça forte, além de dor de cabeça leve","médio risco"
"hoje acordei com visão embaçada com um pouco de dor muscular após exercício","médio risco"
"tive garganta arranhando","baixo risco"
"estou sentindo muita leve incômodo nas costas com um pouco de cansaço do dia a dia","baixo risco"
"tive confusão mental","alto risco"
"apresentei dor de cabeça forte","médio risco"
"sinto náusea e vômito acompanhado de dor abdominal forte","médio risco"
"estou com coriza com um pouco de dor de cabeça leve","baixo risco"
"tive espirros com um pouco de cansaço do dia a dia","baixo risco"
"estou sentindo muita dor aguda no peito que irradia","alto risco"
"apresentei dor de cabeça leve e leve incômodo nas costas","baixo risco"
"desde ontem sinto perda de consciência","alto risco"
"estou com falta de ar","alto risco"
"estou sentindo muita suor frio e dor no peito","alto risco"
"apresentei desmaio","alto risco"
